num_col,flux,volume,modele,ss_quart,commune,coord_x,coord_y,adresse,filling_level,hour_filling
V_0632,Verre,3,Aérien,Sans objet hors Montpellier,SAINT-JEAN-DE-VEDAS,767346.9038,6276161.8246,10 R DES FRERES CALAGE,26.77777778,20260213132003
OMe_0134,Ordures ménagères,4,Enterré,Sans objet hors Montpellier,COURNONTERRAL,758192.116,6273382.0858,19 R GRANDE CALADE,,
OM_0104,Ordures ménagères,4,Aérien,Sans objet hors Montpellier,LATTES,770940.6976,6273953.9096,0 NR NR,,
V_1013,Verre,3,Aérien,Sans objet hors Montpellier,FABREGUES,761266.3878,6270997.5118,9999 R LES QUATRE CHEMINS,,
BD_0052,Biodéchets,"0,24",Abri_bac,Sans objet hors Montpellier,COURNONTERRAL,757988.8335,6273579.511,1 PLACE ROBERT GRANIER,,
TSe_0047,Tri sélectif,5,Enterré,Sans objet hors Montpellier,SAINT-GEORGES-D'ORQUES,763301.0981,6279029.3637,13 AV DES JARDINS,,
V_1125,Verre,3,Aérien,Aiguelongue,MONTPELLIER,770489.3389,6282710.3353,9999 ESP MARCEL GALLET,21.22222222,20260213132003
V_1085,Verre,4,Aérien,Sans objet hors Montpellier,PIGNAN,761584.2573,6276090.1417,6 AV DE L EUROPE,,
OM_0010,Ordures ménagères,4,Aérien,Centre Historique,MONTPELLIER,,,8 PLACE MOLIERE,,
V_0712,Verre,3,Aérien,Sans objet hors Montpellier,FABREGUES,762546.3944,6272268.6767,24 R DES CIGALES,,
V_0682,Verre,3,Aérien,Sans objet hors Montpellier,GRABELS,766233.7887,6283258.3713,705 ACH ANCIEN CHEM DE MONTPELLIER,42,20260213132003
V_0156,Verre,3,Aérien,Sans objet hors Montpellier,CASTELNAU-LE-LEZ,772405.915,6281547.6568,24 R DU PRADO,,
V_0145,Verre,3,Aérien,Sans objet hors Montpellier,LATTES,769537.1519,6273452.4389,9095 LA JASSE DE MAURIN,,
OMe_0020,Ordures ménagères,5,Enterré,Sans objet hors Montpellier,LATTES,772950.2349,6274998.1473,1 RUE DES JONQUILLES,,
V_0649,Verre,3,Aérien,Sans objet hors Montpellier,VENDARGUES,778608.0821,6285479.9129,34 BD FREDERIC MISTRAL,,
OMe_0200,Ordures ménagères,5,Enterré,Sans objet - Hors Montpellier,JACOU,773543.9554,6284973.4792,10 R FERNAND SOUBEYRAN,,
TS_0014,Tri sélectif,3,Aérien,Sans objet hors Montpellier,CASTRIES,779228.453,6286832.4391,8 AV DE LA COOPERATIVE,,
BD_0443,Biodéchets,0.24,Abri_bac,Sans objet - Hors Montpellier,CASTELNAU-LE-LEZ,,,9 Avenue Aristide Briand,,
TS_0147,Tri sélectif,3,Aérien,Prés d'Arènes,MONTPELLIER,770967.1703,6276105.2117,61 R SIMONE DE BEAUVOIR,,
TSe_9008,Tri sélectif,4,Enterré,Pas du Loup,MONTPELLIER,768825.8905,6277002.6403,387 AV DU MONDIAL DE RUGBY 2007,,
V_0392,Verre,3,Aérien,Boutonnet,MONTPELLIER,769764.5005,6280875.7913,6 R DES HOSPICES,8.66666667,20260213132003
TSe_0139,Tri sélectif,5,Enterré,Sans objet hors Montpellier,VILLENEUVE-LES-MAGUELONE,769501.7899,6270546.8082,2 R DES STERNES,,
V_0971,Verre,4,Aérien,Pas du Loup,MONTPELLIER,768041.5854,6277995.907,30 AVENUE MAURICE PLANES,,
BD_0131,Biodéchets,"0,24",Abri_bac,Sans objet hors Montpellier,BAILLARGUES,781379.353,6283445.5561,34 BOULEVARD DE MASSANE,,
BD_0147,Biodéchets,"0,24",Abri_bac,Sans objet hors Montpellier,VENDARGUES,778699.8415,6285118.8273,6 AVENUE MENDES FRANCE,,
V_0609,Verre,3,Aérien,Sans objet hors Montpellier,SAINT-GEORGES-D'ORQUES,763282.7271,6279976.2431,945 R DE CLAIRDOUY,19.11111111,20260213132003
BD_0004,Biodéchets,"0,24",Abri_bac,Sans objet hors Montpellier,SAINT-GENIES-DES-MOURGUES,782996.0679,6289224.5805,231 R DE LA BARRIERE,,
V_0944,Verre,3,Aérien,Hôpitaux-Facultés,MONTPELLIER,767690.2137,6283796.6736,401 R DE LA THERIAQUE,27.22222222,20260213132003
BD_0241,Biodéchets,"0,24",Abri_bac,Millénaire,MONTPELLIER,772937.8334,6279720.7124,70 rue Camille Flammarion,,
TS_0211,Tri sélectif,3,Aérien,Estanove,MONTPELLIER,769938.3113,6278160.2577,34 AV DE TOULOUSE,,
V_0779,Verre,3,Aérien,Plan des 4 Seigneurs,MONTPELLIER,769261.9184,6282810.9023,959 AV ABBE PAUL PARGUEL,60.55555556,20260213132003
V_1098,Verre,3,Aérien,Sans objet hors Montpellier,JACOU,773795.3572,6285757.0129,2 R MALIKA MOKEDDEM,8.44444444,20260213132003
OMe_0075,Ordures ménagères,3,Enterré,Centre Historique,MONTPELLIER,770732.5541,6279819.4019,3 R DE L ECOLE MAGE,,
VRS_0013,Verre,3,Aérien,Sans objet hors Montpellier,VILLENEUVE-LES-MAGUELONE,770388.336,6271416.6643,6546 LE PESQUIER,5.44444444,20260213132003
BD_0407,Biodéchets,0.24,Abri_bac,Sans objet - Hors Montpellier,GRABELS,,,4 Rue Du Rio,,
TS_0053,Tri sélectif,3,Aérien,Celleneuve,MONTPELLIER,766608.9244,6279801.3585,157 R FRANCOIS D ORBAY,,
TSe_0020,Tri sélectif,5,Enterré,Sans objet hors Montpellier,PRADES-LE-LEZ,769487.5915,6289097.4342,80 R ROUCAYROL,,
TS_0262,Tri sélectif,3,Aérien,Sans objet hors Montpellier,COURNONTERRAL,757922.3333,6272509.4517,1912 LE PIOCH,,
V_0117,Verre,3,Aérien,Sans objet hors Montpellier,JACOU,773185.9899,6284878.6774,2 CHE DES TAMARIS,,
BD_0207,Biodéchets,"0,24",Abri_bac,Antigone,MONTPELLIER,,,91 rue don bosco,,
BD_0315,Biodéchets,0.24,Abri_bac,Boutonnet,MONTPELLIER,,,55 Avenue Charles Flahault,,
TS_0359,Tri sélectif,3,Aérien,Sans objet hors Montpellier,SAINT-JEAN-DE-VEDAS,766179.485,6274769.0067,74 JARDIN JEAN MOULIN,,
OM_0177,Ordures ménagères,4,Aérien,Aiguelongue,MONTPELLIER,,,,,
BD_0298,Biodéchets,"0,24",Abri_bac,Les Beaux-Arts,MONTPELLIER,,,26 rue Renaud de Villeneuve,,
TSe_0071,Tri sélectif,5,Enterré,Estanove,MONTPELLIER,769665.6814,6278517.2871,11 R MARIA BLANCHARD,,
TS_0275,Tri sélectif,4,Aérien,Sans objet hors Montpellier,JUVIGNAC,763810.386,6280214.5767,19 RUE DES TERRES DU SUD,,
Ve_0134,Verre,3,Enterré,Sans objet - Hors Montpellier,CASTRIES,779122.7878,6286610.9124,47 RUE DES LAVANDIERES,,
TSe_0068,Tri sélectif,5,Enterré,Hôpitaux-Facultés,MONTPELLIER,768209.6581,6282947.6906,48 R GEORGES DENIZOT,,
TSe_9003,Tri sélectif,5,Enterré,Aiguerelles,MONTPELLIER,772035.4645,6277598.1603,950 R DE CENTRAYRARGUES,,
V_0158,Verre,3,Aérien,Port Marianne,MONTPELLIER,772036.5031,6278602.4621,11 AV DU PETIT TRAIN,,
BD_0196,Biodéchets,"0,24",Abri_bac,Sans objet hors Montpellier,PRADES-LE-LEZ,,,108 Rue Du Mas D'aussel,,
BD_0029,Biodéchets,"0,24",Abri_bac,Sans objet hors Montpellier,BEAULIEU,782518.7826,6292736.2332,"11 bis, rue des écolières",,
BD_0264,Biodéchets,"0,24",Abri_bac,Port Marianne,MONTPELLIER,772675.2344,6278379.4071,77 Rue de Syracuse,,
TS_0607,Tri sélectif,3,Aérien,Les Cévennes,MONTPELLIER,768844.9469,6279572.9267,9 R DES CORONILLES,,
V_0217,Verre,3,Aérien,Celleneuve,MONTPELLIER,766508.275,6279810.9627,330 QU LOUIS LE VAU,14,20260213132003
V_0745,Verre,3,Aérien,Hôpitaux-Facultés,MONTPELLIER,767396.4544,6282186.3363,123 R DE LA CARRIERASSE,,
TS_0874,Tri sélectif,3,Aérien,Croix d'Argent,MONTPELLIER,769224.4577,6277008.8748,3610 BD PAUL VALERY,,
TSe_0037,Tri sélectif,5,Enterré,Port Marianne,MONTPELLIER,772842.5163,6278132.0708,102 R AUNG SAN SUU KYI,,
V_0927,Verre,3,Aérien,Alco,MONTPELLIER,767585.051,6280364.5617,13 COUR MALBOSC,,
V_0654,Verre,3,Aérien,Sans objet hors Montpellier,VILLENEUVE-LES-MAGUELONE,767624.3726,6269800.5902,9001 DOM DE LA MAGDELEINE,25.77777778,20260213132003
TS_0503,Tri sélectif,3,Aérien,La Paillade,MONTPELLIER,765755.0413,6281061.4579,74 R CHARLES BONAPARTE,,
V_0875,Verre,3,Aérien,Sans objet hors Montpellier,SAINT-JEAN-DE-VEDAS,766175.1509,6274768.161,74 JARDIN JEAN MOULIN,99.55555556,20260213132003
V_0886,Verre,3,Aérien,Sans objet hors Montpellier,PIGNAN,760718.5792,6276283.5809,29 R ALBERT CAMUS,,
BD_0144,Biodéchets,"0,24",Abri_bac,Sans objet hors Montpellier,CLAPIERS,772310.0129,6285381.0809,1 rue de l'Orée du bois,,
OM_0176,Ordures ménagères,3,Aérien,Aiguelongue,MONTPELLIER,,,,,
TS_0615,Tri sélectif,4,Aérien,Sans objet hors Montpellier,VILLENEUVE-LES-MAGUELONE,769472.4239,6271273.6073,106 RUE DES FUSAINS,,
V_1023,Verre,3,Aérien,Sans objet hors Montpellier,CASTELNAU-LE-LEZ,773622.7573,6282825.1426,7 CHE DES PINS,,
